"","Year","Players","Runs","Venue","Against","Opponents"
"1",2008,"M M Patel-Zaheer Khan-R P Singh-I K Pathan-P P Ojha-R G Sharma-Yuvraj Singh-V Kohli-G Gambhir-S K Raina-M S Dhoni",-112,"Away","SL","S T Jayasuriya-B S M Warnapura-M L Udawatte-K C Sangakkara-D P M Jayawardene-C K Kapugedera-J Mubarak-T Thushara-K M D Kulasekara-B A W Mendis-C R D Fernando"
"2",2010,"M Vijay-S R Tendulkar-V Kohli-Yuvraj Singh-M S Dhoni-S K Raina-R G Sharma-Harbhajan Singh-Zaheer Khan-A Nehra-M M Patel",1,"Away","SA","D W Steyn-L L Tsotsobe-W D Parnell-M Morkel-J Botha-J-P Duminy-H M Amla-G C Smith-C A Ingram-A B de Villiers-D A Miller"
"3",2008,"Zaheer Khan-P Kumar-I Sharma-Yuvraj Singh-Y K Pathan-Harbhajan Singh-G Gambhir-V Sehwag-S K Raina-M S Dhoni-R G Sharma",84,"Away","NZ","J D Ryder-B B McCullum-L  R Taylor-M J Guptill-J D P Oram-P D McGlashan-G D Elliott-D L Vettori-K D Mills-E P Thompson-I E O'Brien"
"4",2008,"V Kohli-G Gambhir-Yuvraj Singh-S K Raina-S Badrinath-M S Dhoni-R G Sharma-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel",33,"Away","SL","W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-K C Sangakkara-C K Kapugedera-D P M Jayawardene-L P C Silva-T M Dilshan"
"5",2014,"B Kumar-U T Yadav-Mohammed Shami-R Ashwin-S K Raina-R A Jadeja-A M Rahane-S Dhawan-V Kohli-A T Rayudu-M S Dhoni",-41,"Away","ENG","A N Cook-A D Hales-M M Ali-J E Root-E J G Morgan-J C Buttler-B A Stokes-C R Woakes-J C Tredwell-S T Finn-J M Anderson"
"66",2009,"P Kumar-A Nehra-I Sharma-R A Jadeja-Harbhajan Singh-Yuvraj Singh-V Sehwag-S R Tendulkar-V Kohli-M S Dhoni-S K Raina",-24,"Home","AUS","S R Watson-S E Marsh-R T Ponting-C L White-M E K Hussey-M C Henriques-M G Johnson-G A Manou-N M Hauritz-P M Siddle-D E Bollinger"
"6",2008,"V Kohli-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-R G Sharma-S Badrinath-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel",46,"Away","SL","W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-B S M Warnapura-K C Sangakkara-D P M Jayawardene-C K Kapugedera-T M Dilshan"
"7",2008,"V Sehwag-G Gambhir-M S Dhoni-Yuvraj Singh-Y K Pathan-S K Raina-R G Sharma-I K Pathan-P Kumar-P P Ojha-I Sharma",67,"Away","SL","K M D Kulasekara-M F Maharoof-C R D Fernando-A D Mathews-M Muralitharan-S T Jayasuriya-T M Dilshan-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera"
"8",2013,"R V Uthappa-A M Rahane-C A Pujara-A T Rayudu-S K Raina-W P Saha-S T R Binny-A R Patel-A Mishra-M M Sharma-U T Yadav",47,"Away","BAN","Mashrafe Bin Mortaza-Al-Amin Hossain-Taskin Ahmed-Ziaur Rahman-Shakib Al Hasan-Tamim Iqbal-Anamul Haque-Mohammad Mithun-Mushfiqur Rahim-Mohammad Mahmudullah-Nasir Hossain"
"9",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Y K Pathan-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel",58,"Away","NZ","K D Mills-T G Southee-I G Butler-J D P Oram-J S Patel-J D Ryder-G D Elliott-B B McCullum-L  R Taylor-M J Guptill-P D McGlashan"
"10",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-Y K Pathan-Zaheer Khan-P Kumar-P P Ojha-I Sharma",15,"Away","SL","K M D Kulasekara-T Thushara-M F Maharoof-B A W Mendis-M Muralitharan-T M Dilshan-S T Jayasuriya-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera"
"11",2014,"R G Sharma-S Dhawan-V Kohli-M S Dhoni-A T Rayudu-S K Raina-S T R Binny-A R Patel-R Ashwin-D S Kulkarni-U T Yadav",77,"Away","BAN","Mustafizur Rahman-Mashrafe Bin Mortaza-Arafat Sunny-Rubel Hossain-Nasir Hossain-Shakib Al Hasan-Tamim Iqbal-Soumya Sarkar-Litton Das-Mushfiqur Rahim-Sabbir Rahman"
"12",2012,"G Gambhir-V Sehwag-V Kohli-R G Sharma-S K Raina-M S Dhoni-I K Pathan-R Ashwin-Zaheer Khan-U T Yadav-P P Ojha",21,"Away","SL","K M D Kulasekara-S L Malinga-A D Mathews-N L T Perera-T M Dilshan-H M R Herath-W U Tharanga-K C Sangakkara-L D Chandimal-D P M Jayawardene-H D R Thirimanne"
"13",2008,"I K Pathan-I Sharma-L Balaji-V Sehwag-R A Jadeja-Y K Pathan-S K Raina-Yuvraj Singh-R G Sharma-G Gambhir-M S Dhoni",-68,"Away","SL","T M Dilshan-S T Jayasuriya-K C Sangakkara-S H T Kandamby-D P M Jayawardene-C K Kapugedera-M F Maharoof-T Thushara-K M D Kulasekara-M Muralitharan-B A W Mendis"
"14",2013,"Mohammed Shami-B Kumar-V R Aaron-R Ashwin-R A Jadeja-V Kohli-R G Sharma-S Dhawan-A M Rahane-A T Rayudu-M S Dhoni",-87,"Away","NZ","M J Guptill-J D Ryder-K S Williamson-L  R Taylor-B B McCullum-J D S Neesham-L Ronchi-N L McCullum-M J Henry-K D Mills-M J McClenaghan"
"15",2008,"V Sehwag-S R Tendulkar-M S Dhoni-Yuvraj Singh-S K Raina-Y K Pathan-G Gambhir-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel",53,"Away","NZ","K D Mills-I E O'Brien-I G Butler-J D P Oram-D L Vettori-J D Ryder-G D Elliott-B B McCullum-M J Guptill-L  R Taylor-N T Broom"
"16",2013,"R G Sharma-S Dhawan-V Kohli-A T Rayudu-S K Raina-K K D Karthik-R A Jadeja-A Mishra-R Vinay Kumar-Mohammed Shami-J D Unadkat",58,"Away",NA,"K M Jarvis-B V Vitori-T L Chatara-E Chigumbura-P Utseya-H Masakadza-S C Williams-V Sibanda-Sikandar Raza-B R M Taylor-M N Waller"
"17",2013,"B Kumar-Mohammed Shami-I Sharma-R A Jadeja-V Kohli-R Ashwin-S K Raina-S Dhawan-R G Sharma-A M Rahane-M S Dhoni",-15,"Away","NZ","M J Guptill-J D Ryder-K S Williamson-L  R Taylor-C J Anderson-B B McCullum-L Ronchi-N L McCullum-K D Mills-T G Southee-M J McClenaghan"
"18",2015,"A M Rahane-M Vijay-R V Uthappa-M K Tiwary-M K Pandey-K M Jadhav-S T R Binny-Harbhajan Singh-A R Patel-B Kumar-M M Sharma",83,"Away",NA,"D T Tiripano-N Madziva-C J Chibhabha-H Masakadza-P Utseya-A G Cremer-R W Chakabva-E Chigumbura-R Mutumbami-Sikandar Raza-M N Waller"
"19",2013,"M M Sharma-B Kumar-Mohammed Shami-R Ashwin-R A Jadeja-S K Raina-V Kohli-R G Sharma-S Dhawan-Yuvraj Singh-M S Dhoni",-141,"Away","SA","H M Amla-Q de Kock-J H Kallis-A B de Villiers-J-P Duminy-D A Miller-R McLaren-W D Parnell-D W Steyn-M Morkel-L L Tsotsobe"
"20",2007,"S C Ganguly-S R Tendulkar-Yuvraj Singh-R Dravid-M S Dhoni-K K D Karthik-A B Agarkar-R R Powar-P P Chawla-R P Singh-M M Patel",9,"Away","ENG","S C J Broad-J M Anderson-A Flintoff-C T Tremlett-A D Mascarenhas-P D Collingwood-R S Bopara-A N Cook-M J Prior-I R Bell-K P Pietersen"
"21",2010,"Zaheer Khan-A Nehra-M M Patel-Harbhajan Singh-Yuvraj Singh-R G Sharma-S K Raina-M Vijay-S R Tendulkar-V Kohli-M S Dhoni",-135,"Away","SA","G C Smith-H M Amla-C A Ingram-A B de Villiers-J-P Duminy-D A Miller-J Botha-W D Parnell-D W Steyn-M Morkel-L L Tsotsobe"
"22",2014,"B Kumar-U T Yadav-R Ashwin-M M Sharma-S K Raina-R A Jadeja-V Kohli-R G Sharma-S Dhawan-A M Rahane-M S Dhoni",-79,"Away","BAN","Tamim Iqbal-Soumya Sarkar-Litton Das-Mushfiqur Rahim-Shakib Al Hasan-Sabbir Rahman-Nasir Hossain-Mashrafe Bin Mortaza-Rubel Hossain-Taskin Ahmed-Mustafizur Rahman"
"23",2015,"A M Rahane-M Vijay-A T Rayudu-M K Tiwary-R V Uthappa-K M Jadhav-S T R Binny-A R Patel-Harbhajan Singh-B Kumar-D S Kulkarni",4,"Away",NA,"T Panyangara-B V Vitori-D T Tiripano-C J Chibhabha-A G Cremer-S C Williams-V Sibanda-H Masakadza-E Chigumbura-Sikandar Raza-R Mutumbami"
"24",2015,"A M Rahane-M Vijay-A T Rayudu-M K Tiwary-R V Uthappa-S T R Binny-K M Jadhav-Harbhajan Singh-A R Patel-B Kumar-D S Kulkarni",62,"Away",NA,"B V Vitori-D T Tiripano-N Madziva-S C Williams-A G Cremer-C J Chibhabha-H Masakadza-Sikandar Raza-V Sibanda-E Chigumbura-R Mutumbami"
"25",2013,"U T Yadav-Mohammed Shami-I Sharma-R Ashwin-S K Raina-V Kohli-R A Jadeja-R G Sharma-S Dhawan-A M Rahane-M S Dhoni",-134,"Away","SA","Q de Kock-H M Amla-A B de Villiers-J-P Duminy-D A Miller-J H Kallis-R McLaren-V D Philander-D W Steyn-M Morkel-L L Tsotsobe"
"26",2013,"B Kumar-Mohammed Shami-I Sharma-R A Jadeja-R Ashwin-V Kohli-R G Sharma-S Dhawan-A M Rahane-S K Raina-M S Dhoni",-24,"Away","NZ","M J Guptill-J D Ryder-K S Williamson-L  R Taylor-B B McCullum-C J Anderson-L Ronchi-N L McCullum-T G Southee-A F Milne-M J McClenaghan"
"27",2010,"Zaheer Khan-M M Patel-P P Chawla-Harbhajan Singh-Y K Pathan-Yuvraj Singh-R G Sharma-S K Raina-P A Patel-V Kohli-M S Dhoni",-33,"Away","SA","G C Smith-H M Amla-M N van Wyk-A B de Villiers-J-P Duminy-F du Plessis-J Botha-R J Peterson-D W Steyn-M Morkel-L L Tsotsobe"
"28",2012,"G Gambhir-A M Rahane-V Kohli-R G Sharma-M K Tiwary-S K Raina-M S Dhoni-I K Pathan-R Ashwin-Zaheer Khan-A B Dinda",20,"Away","SL","S L Malinga-N L T Perera-A D Mathews-A N Pradeep-S M S Senanayake-B M A Mendis-W U Tharanga-T M Dilshan-H D R Thirimanne-L D Chandimal-C K Kapugedera"
"29",2007,"Zaheer Khan-R P Singh-M M Patel-R R Powar-P P Chawla-Yuvraj Singh-S C Ganguly-S R Tendulkar-K K D Karthik-R Dravid-M S Dhoni",-42,"Away","ENG","A N Cook-M J Prior-I R Bell-K P Pietersen-P D Collingwood-O A Shah-R S Bopara-S C J Broad-C T Tremlett-J M Anderson-M S Panesar"
"30",2007,"S C Ganguly-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-R Dravid-K K D Karthik-Zaheer Khan-A B Agarkar-R R Powar-P P Chawla",38,"Away","ENG","J M Anderson-J Lewis-S C J Broad-P D Collingwood-M S Panesar-R S Bopara-K P Pietersen-A N Cook-M J Prior-I R Bell-O A Shah"
"31",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Y K Pathan-P Kumar-Zaheer Khan-P P Ojha-I Sharma",147,"Away","SL","K M D Kulasekara-C R D Fernando-M F Maharoof-B A W Mendis-M Muralitharan-S T Jayasuriya-T M Dilshan-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera"
"32",2010,"P Kumar-I Sharma-R Ashwin-A Mishra-Y K Pathan-M K Tiwary-P A Patel-V Kohli-S Badrinath-R G Sharma-S K Raina",-103,"Away","WI","L M P Simmons-D P Hyatt-R R Sarwan-D M Bravo-M N Samuels-K A Pollard-C S Baugh-A D Russell-D J G Sammy-K A J Roach-A Martin"
"33",2015,"U T Yadav-B Kumar-I Sharma-Gurkeerat Singh-R Dhawan-R A Jadeja-R G Sharma-S Dhawan-V Kohli-M S Dhoni-A M Rahane",-25,"Away","AUS","D A Warner-A J Finch-M R Marsh-S P D Smith-G J Maxwell-G J Bailey-J P Faulkner-M S Wade-J W Hastings-K W Richardson-N M Lyon"
"34",2010,"Zaheer Khan-M M Patel-A Nehra-Harbhajan Singh-Yuvraj Singh-R G Sharma-S K Raina-Y K Pathan-P A Patel-V Kohli-M S Dhoni",-48,"Away","SA","H M Amla-G C Smith-M N van Wyk-A B de Villiers-J-P Duminy-F du Plessis-J Botha-R J Peterson-D W Steyn-M Morkel-L L Tsotsobe"
"35",2007,"Zaheer Khan-A B Agarkar-R P Singh-S C Ganguly-P P Chawla-S R Tendulkar-Yuvraj Singh-G Gambhir-R Dravid-M S Dhoni-K K D Karthik",-104,"Away","ENG","A N Cook-M J Prior-I R Bell-K P Pietersen-P D Collingwood-A Flintoff-R S Bopara-A D Mascarenhas-S C J Broad-J M Anderson-M S Panesar"
"36",2014,"R G Sharma-S Dhawan-V Kohli-A M Rahane-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-B Kumar-Mohammed Shami-M M Sharma",133,"Away","ENG","J M Anderson-C R Woakes-C J Jordan-B A Stokes-J E Root-J C Tredwell-A N Cook-A D Hales-I R Bell-E J G Morgan-J C Buttler"
"37",2008,"K K D Karthik-G Gambhir-R G Sharma-Yuvraj Singh-M S Dhoni-R A Jadeja-Y K Pathan-Harbhajan Singh-I Sharma-R P Singh-A Nehra",20,"Away","WI","J E Taylor-L S Baker-D J J Bravo-D E Bernard-S J Benn-C H Gayle-R S Morton-R R Sarwan-S Chanderpaul-D M Bravo-D Ramdin"
"38",2014,"B Kumar-M M Sharma-Mohammed Shami-R A Jadeja-A Mishra-S K Raina-A M Rahane-S Dhawan-V Kohli-A T Rayudu-M S Dhoni",-124,"Home","WI","D R Smith-D J J Bravo-D M Bravo-M N Samuels-D Ramdin-K A Pollard-A D Russell-D J G Sammy-S J Benn-R Rampaul-J E Taylor"
"39",2013,"B Kumar-R Vinay Kumar-I Sharma-R Ashwin-R A Jadeja-V Kohli-Yuvraj Singh-S Dhawan-R G Sharma-S K Raina-M S Dhoni",-72,"Home","AUS","P J Hughes-A J Finch-S R Watson-G J Bailey-A C Voges-G J Maxwell-B J Haddin-J P Faulkner-M G Johnson-C J McKay-X J Doherty"
"40",2008,"G Gambhir-V Sehwag-S K Raina-Yuvraj Singh-Y K Pathan-M S Dhoni-R G Sharma-Harbhajan Singh-Zaheer Khan-R P Singh-M M Patel",158,"Home","ENG","J M Anderson-S C J Broad-A Flintoff-S J Harmison-S R Patel-P D Collingwood-K P Pietersen-I R Bell-M J Prior-O A Shah-R S Bopara"
"41",2011,"G Gambhir-A M Rahane-P A Patel-M K Tiwary-V Kohli-R G Sharma-S K Raina-I K Pathan-R A Jadeja-R Sharma-A Mithun",34,"Home","WI","K A J Roach-A D Russell-S P Narine-D J G Sammy-A Martin-M N Samuels-K A Pollard-L M P Simmons-K O A Powell-J N Mohammed-D Ramdin"
"42",2007,"Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-Yuvraj Singh-S R Tendulkar-G Gambhir-R V Uthappa-R Dravid-M S Dhoni-R G Sharma",-47,"Home","AUS","A C Gilchrist-M L Hayden-R T Ponting-M J Clarke-A Symonds-B J Hodge-J R Hopes-B Lee-G B Hogg-S R Clark-M G Johnson"
"43",2015,"R G Sharma-S Dhawan-V Kohli-A M Rahane-S K Raina-M S Dhoni-Harbhajan Singh-A R Patel-B Kumar-M M Sharma-A Mishra",35,"Home","SA","D W Steyn-K Rabada-C H Morris-A M Phangiso-Imran Tahir-F Behardien-Q de Kock-H M Amla-F du Plessis-A B de Villiers-D A Miller"
"44",2012,"G Gambhir-A M Rahane-V Kohli-Yuvraj Singh-S K Raina-M S Dhoni-R Ashwin-R A Jadeja-B Kumar-I Sharma-Mohammed Shami",10,"Home","PAK","Mohammad Irfan-Junaid Khan-Umar Gul-Mohammad Hafeez-Saeed Ajmal-Nasir Jamshed-Kamran Akmal-Younis Khan-Misbah-ul-Haq-Umar Akmal-Shoaib Malik"
"45",2008,"Zaheer Khan-M M Patel-I Sharma-Yuvraj Singh-Harbhajan Singh-Y K Pathan-V Sehwag-G Gambhir-S K Raina-R G Sharma-M S Dhoni",16,"Home","ENG","R S Bopara-I R Bell-K P Pietersen-P D Collingwood-A Flintoff-O A Shah-S R Patel-M J Prior-G P Swann-S C J Broad-J M Anderson"
"46",2007,"Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-R R Powar-S R Tendulkar-Yuvraj Singh-G Gambhir-R V Uthappa-R Dravid-M S Dhoni",-84,"Home","AUS","A C Gilchrist-M L Hayden-B J Hodge-M J Clarke-A Symonds-B J Haddin-J R Hopes-B Lee-G B Hogg-S R Clark-M G Johnson"
"47",2010,"M Vijay-G Gambhir-V Kohli-Yuvraj Singh-S K Raina-Y K Pathan-W P Saha-R Ashwin-A Nehra-S Sreesanth-M M Patel",40,"Home","NZ","K D Mills-D R Tuffey-A J McKay-G D Elliott-N L McCullum-S B Styris-K S Williamson-J M How-M J Guptill-L  R Taylor-G J Hopkins"
"48",2008,"G Gambhir-V Sehwag-S K Raina-R G Sharma-Yuvraj Singh-M S Dhoni-Y K Pathan-Harbhajan Singh-Zaheer Khan-R P Singh-M M Patel",54,"Home","ENG","J M Anderson-S C J Broad-A Flintoff-S J Harmison-S R Patel-P D Collingwood-K P Pietersen-I R Bell-M J Prior-O A Shah-R S Bopara"
"49",2009,"S Sreesanth-S Tyagi-A Mithun-R A Jadeja-Y K Pathan-V Kohli-R G Sharma-K K D Karthik-M Vijay-M S Dhoni-S K Raina",-90,"Home","SA","L L Bosman-H M Amla-J H Kallis-A B de Villiers-H H Gibbs-M V Boucher-J Botha-R E van der Merwe-D W Steyn-M Morkel-L L Tsotsobe"
"50",2011,"R Vinay Kumar-U T Yadav-A Mithun-R A Jadeja-R Ashwin-S K Raina-P A Patel-V Sehwag-G Gambhir-V Kohli-R G Sharma",-16,"Home","WI","L M P Simmons-D P Hyatt-M N Samuels-D M Bravo-D Ramdin-K A Pollard-A D Russell-D J G Sammy-K A J Roach-R Rampaul-S P Narine"
"51",2013,"R G Sharma-S Dhawan-V Kohli-S K Raina-Yuvraj Singh-M S Dhoni-R A Jadeja-R Ashwin-B Kumar-R Vinay Kumar-Mohammed Shami",57,"Home","AUS","C J McKay-N M Coulter-Nile-J P Faulkner-S R Watson-X J Doherty-G J Maxwell-A J Finch-P J Hughes-B J Haddin-G J Bailey-A C Voges"
"52",2015,"B Kumar-M M Sharma-Harbhajan Singh-A R Patel-A Mishra-S K Raina-V Kohli-R G Sharma-S Dhawan-A M Rahane-M S Dhoni",-214,"Home","SA","Q de Kock-H M Amla-F du Plessis-A B de Villiers-D A Miller-F Behardien-D Elgar-D W Steyn-K Rabada-Imran Tahir-K J Abbott"
"53",2014,"A M Rahane-S Dhawan-V Kohli-S K Raina-M S Dhoni-R A Jadeja-A T Rayudu-A R Patel-B Kumar-Mohammed Shami-U T Yadav",59,"Home","WI","J E Taylor-J O Holder-A D Russell-S J Benn-M N Samuels-D J J Bravo-K A Pollard-D R Smith-D M Bravo-D Ramdin-D J G Sammy"
"54",2011,"P A Patel-A M Rahane-G Gambhir-V Kohli-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-P Kumar-R Vinay Kumar-U T Yadav",126,"Home","ENG","T T Bresnan-S T Finn-J W Dernbach-G P Swann-S R Patel-R S Bopara-A N Cook-C Kieswetter-K P Pietersen-I J L Trott-J M Bairstow"
"55",2009,"V Sehwag-S R Tendulkar-K K D Karthik-Y K Pathan-M S Dhoni-V Kohli-S K Raina-R A Jadeja-P Kumar-A Nehra-S Sreesanth",153,"Home","SA","D W Steyn-W D Parnell-R E van der Merwe-C K Langeveldt-J-P Duminy-J H Kallis-H M Amla-H H Gibbs-A B de Villiers-A N Petersen-M V Boucher"
"56",2015,"R G Sharma-S Dhawan-A M Rahane-V Kohli-M S Dhoni-S K Raina-A R Patel-B Kumar-Harbhajan Singh-U T Yadav-M M Sharma",22,"Home","SA","D W Steyn-K Rabada-M Morkel-J-P Duminy-Imran Tahir-F Behardien-H M Amla-Q de Kock-F du Plessis-A B de Villiers-D A Miller"
"57",2014,"A M Rahane-R G Sharma-A T Rayudu-V Kohli-S K Raina-R V Uthappa-S T R Binny-A R Patel-K V Sharma-U T Yadav-D S Kulkarni",153,"Home","SL","K M D Kulasekara-A D Mathews-R M S Eranga-N L T Perera-S Prasanna-B A W Mendis-T M Dilshan-M D K Perera-L D Chandimal-D P M Jayawardene-H D R Thirimanne"
"58",2007,"S C Ganguly-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-R V Uthappa-I K Pathan-Harbhajan Singh-M Kartik-Zaheer Khan-R P Singh",46,"Home","PAK","Shoaib Akhtar-Umar Gul-Sohail Tanvir-Shahid Afridi-Shoaib Malik-Abdur Rehman-Salman Butt-Younis Khan-Mohammad Yousuf-Misbah-ul-Haq-Kamran Akmal"
"59",2012,"A M Rahane-G Gambhir-V Kohli-Yuvraj Singh-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-B Kumar-I Sharma-Mohammed Shami",127,"Home","ENG","S T Finn-J W Dernbach-C R Woakes-S R Patel-J C Tredwell-J E Root-A N Cook-I R Bell-K P Pietersen-E J G Morgan-C Kieswetter"
"60",2012,"B Kumar-A B Dinda-I Sharma-R Ashwin-S K Raina-R A Jadeja-Yuvraj Singh-G Gambhir-V Sehwag-V Kohli-M S Dhoni",-85,"Home","PAK","Nasir Jamshed-Mohammad Hafeez-Azhar Ali-Younis Khan-Misbah-ul-Haq-Shoaib Malik-Kamran Akmal-Umar Gul-Saeed Ajmal-Junaid Khan-Mohammad Irfan"
"61",2015,"B Kumar-U T Yadav-R Ashwin-A Mishra-S T R Binny-S K Raina-V Kohli-R G Sharma-S Dhawan-A M Rahane-M S Dhoni",-5,"Home","SA","Q de Kock-H M Amla-F du Plessis-A B de Villiers-D A Miller-J-P Duminy-F Behardien-D W Steyn-K Rabada-M Morkel-Imran Tahir"
"62",2012,"B Kumar-I Sharma-A B Dinda-R Ashwin-R A Jadeja-S K Raina-V Kohli-A M Rahane-G Gambhir-Yuvraj Singh-M S Dhoni",-9,"Home","ENG","A N Cook-I R Bell-K P Pietersen-E J G Morgan-C Kieswetter-S R Patel-J E Root-T T Bresnan-J C Tredwell-S T Finn-J W Dernbach"
"63",2009,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Harbhajan Singh-P Kumar-R A Jadeja-A Nehra-I Sharma",99,"Home","AUS","B W Hilfenhaus-P M Siddle-M G Johnson-N M Hauritz-A C Voges-S R Watson-T D Paine-R T Ponting-C L White-M E K Hussey-S E Marsh"
"64",2007,"S C Ganguly-S R Tendulkar-Yuvraj Singh-M S Dhoni-R Dravid-R V Uthappa-I K Pathan-M Kartik-Harbhajan Singh-Zaheer Khan-R P Singh",8,"Home","AUS","B Lee-N W Bracken-M G Johnson-J R Hopes-A Symonds-G B Hogg-A C Gilchrist-M L Hayden-R T Ponting-M J Clarke-B J Hodge"
"65",2014,"A M Rahane-S Dhawan-A T Rayudu-V Kohli-S K Raina-M S Dhoni-R A Jadeja-B Kumar-Mohammed Shami-A Mishra-U T Yadav",48,"Home","WI","R Rampaul-J E Taylor-S J Benn-D J J Bravo-D J G Sammy-M N Samuels-A D Russell-K A Pollard-D R Smith-D M Bravo-D Ramdin"
"67",2015,"B Kumar-M M Sharma-Harbhajan Singh-A Mishra-A R Patel-S K Raina-R G Sharma-S Dhawan-V Kohli-M S Dhoni-A M Rahane",-18,"Home","SA","Q de Kock-D A Miller-H M Amla-F du Plessis-A B de Villiers-J-P Duminy-F Behardien-D W Steyn-K Rabada-Imran Tahir-M Morkel"
"68",2009,"P Kumar-A Nehra-I Sharma-Harbhajan Singh-R A Jadeja-S K Raina-V Sehwag-S R Tendulkar-G Gambhir-V Kohli-M S Dhoni",-4,"Home","AUS","S R Watson-T D Paine-R T Ponting-C L White-M E K Hussey-A C Voges-J R Hopes-M G Johnson-B Lee-N M Hauritz-P M Siddle"
"69",2011,"A M Rahane-G Gambhir-V Kohli-M K Tiwary-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-P Kumar-R Vinay Kumar-V R Aaron",95,"Home","ENG","T T Bresnan-S T Finn-S C Meaker-S R Patel-G P Swann-R S Bopara-C Kieswetter-A N Cook-I J L Trott-I R Bell-J M Bairstow"
"70",2008,"V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-Y K Pathan-S K Raina-Harbhajan Singh-Zaheer Khan-I Sharma-M M Patel",19,"Home","ENG","J M Anderson-S C J Broad-A Flintoff-S R Patel-G P Swann-K P Pietersen-R S Bopara-I R Bell-O A Shah-P D Collingwood-M J Prior"
"71",2007,"Zaheer Khan-S Sreesanth-I K Pathan-Harbhajan Singh-M Kartik-Yuvraj Singh-S R Tendulkar-S C Ganguly-R Dravid-M S Dhoni-R V Uthappa",-18,"Home","AUS","A C Gilchrist-M J Clarke-R T Ponting-B J Hodge-A Symonds-B J Haddin-J R Hopes-B Lee-M G Johnson-G B Hogg-N W Bracken"
"72",2014,"A M Rahane-S Dhawan-S K Raina-V Kohli-A T Rayudu-W P Saha-A R Patel-R Ashwin-U T Yadav-V R Aaron-I Sharma",169,"Home","SL","K T G Prasad-P L S Gamage-A D Mathews-N L T Perera-S Randiv-S Prasanna-T M Dilshan-S M A Priyanjan-W U Tharanga-K C Sangakkara-D P M Jayawardene"
"73",2009,"P Kumar-A Nehra-M M Patel-R A Jadeja-Harbhajan Singh-Yuvraj Singh-V Sehwag-S R Tendulkar-G Gambhir-M S Dhoni-S K Raina",-3,"Home","AUS","S R Watson-S E Marsh-R T Ponting-C L White-M E K Hussey-A C Voges-G A Manou-N M Hauritz-D E Bollinger-B W Hilfenhaus-C J McKay"
"74",2009,"V Sehwag-S R Tendulkar-K K D Karthik-M S Dhoni-V Kohli-S K Raina-Y K Pathan-R A Jadeja-P Kumar-A Nehra-S Sreesanth",1,"Home","SA","D W Steyn-W D Parnell-C K Langeveldt-J A Morkel-J Botha-J H Kallis-L L Bosman-H H Gibbs-A B de Villiers-A N Petersen-M V Boucher"
"75",2011,"G Gambhir-V Sehwag-S K Raina-R A Jadeja-R G Sharma-V Kohli-P A Patel-R Ashwin-R Vinay Kumar-A Mithun-R Sharma",153,"Home","WI","K A J Roach-R Rampaul-A D Russell-S P Narine-D J G Sammy-K A Pollard-M N Samuels-L M P Simmons-K O A Powell-D P Hyatt-D Ramdin"
"76",2007,"P Kumar-S Sreesanth-I K Pathan-M Kartik-V Sehwag-Yuvraj Singh-G Gambhir-S R Tendulkar-R V Uthappa-R G Sharma-M S Dhoni",-31,"Home","PAK","Salman Butt-Imran Nazir-Yasir Hameed-Mohammad Yousuf-Shoaib Malik-Misbah-ul-Haq-Fawad Alam-Sohail Tanvir-Sarfraz Ahmed-Umar Gul-Iftikhar Anjum"
"77",2009,"V Sehwag-S R Tendulkar-M S Dhoni-S K Raina-G Gambhir-Harbhajan Singh-V Kohli-R A Jadeja-P Kumar-Zaheer Khan-A Nehra",3,"Home","SL","K M D Kulasekara-U W M Welegedara-C R D Fernando-A D Mathews-S T Jayasuriya-S H T Kandamby-T M Dilshan-W U Tharanga-K C Sangakkara-D P M Jayawardene-T T Samaraweera"
