Year,Players,Runs,Venue,Against,Opponents
2008,M M Patel-Zaheer Khan-R P Singh-I K Pathan-P P Ojha-R G Sharma-Yuvraj Singh-V Kohli-G Gambhir-S K Raina-M S Dhoni,-112,Away,SL,S T Jayasuriya-B S M Warnapura-M L Udawatte-K C Sangakkara-D P M Jayawardene-C K Kapugedera-J Mubarak-T Thushara-K M D Kulasekara-B A W Mendis-C R D Fernando
2010,M Vijay-S R Tendulkar-V Kohli-Yuvraj Singh-M S Dhoni-S K Raina-R G Sharma-Harbhajan Singh-Zaheer Khan-A Nehra-M M Patel,1,Away,SA,D W Steyn-L L Tsotsobe-W D Parnell-M Morkel-J Botha-J-P Duminy-H M Amla-G C Smith-C A Ingram-A B de Villiers-D A Miller
2008,Zaheer Khan-P Kumar-I Sharma-Yuvraj Singh-Y K Pathan-Harbhajan Singh-G Gambhir-V Sehwag-S K Raina-M S Dhoni-R G Sharma,84,Away,NZ,J D Ryder-B B McCullum-L  R Taylor-M J Guptill-J D P Oram-P D McGlashan-G D Elliott-D L Vettori-K D Mills-E P Thompson-I E O'Brien
2008,V Kohli-G Gambhir-Yuvraj Singh-S K Raina-S Badrinath-M S Dhoni-R G Sharma-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel,33,Away,SL,W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-K C Sangakkara-C K Kapugedera-D P M Jayawardene-L P C Silva-T M Dilshan
2014,B Kumar-U T Yadav-Mohammed Shami-R Ashwin-S K Raina-R A Jadeja-A M Rahane-S Dhawan-V Kohli-A T Rayudu-M S Dhoni,-41,Away,ENG,A N Cook-A D Hales-M M Ali-J E Root-E J G Morgan-J C Buttler-B A Stokes-C R Woakes-J C Tredwell-S T Finn-J M Anderson
2008,V Kohli-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-R G Sharma-S Badrinath-Harbhajan Singh-P Kumar-Zaheer Khan-M M Patel,46,Away,SL,W P U Vaas-K M D Kulasekara-T Thushara-B A W Mendis-M Muralitharan-S T Jayasuriya-B S M Warnapura-K C Sangakkara-D P M Jayawardene-C K Kapugedera-T M Dilshan
2008,V Sehwag-G Gambhir-M S Dhoni-Yuvraj Singh-Y K Pathan-S K Raina-R G Sharma-I K Pathan-P Kumar-P P Ojha-I Sharma,67,Away,SL,K M D Kulasekara-M F Maharoof-C R D Fernando-A D Mathews-M Muralitharan-S T Jayasuriya-T M Dilshan-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera
2013,R V Uthappa-A M Rahane-C A Pujara-A T Rayudu-S K Raina-W P Saha-S T R Binny-A R Patel-A Mishra-M M Sharma-U T Yadav,47,Away,BAN,Mashrafe Bin Mortaza-Al-Amin Hossain-Taskin Ahmed-Ziaur Rahman-Shakib Al Hasan-Tamim Iqbal-Anamul Haque-Mohammad Mithun-Mushfiqur Rahim-Mohammad Mahmudullah-Nasir Hossain
2008,V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Y K Pathan-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel,58,Away,NZ,K D Mills-T G Southee-I G Butler-J D P Oram-J S Patel-J D Ryder-G D Elliott-B B McCullum-L  R Taylor-M J Guptill-P D McGlashan
2008,V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-S K Raina-M S Dhoni-Y K Pathan-Zaheer Khan-P Kumar-P P Ojha-I Sharma,15,Away,SL,K M D Kulasekara-T Thushara-M F Maharoof-B A W Mendis-M Muralitharan-T M Dilshan-S T Jayasuriya-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera
2014,R G Sharma-S Dhawan-V Kohli-M S Dhoni-A T Rayudu-S K Raina-S T R Binny-A R Patel-R Ashwin-D S Kulkarni-U T Yadav,77,Away,BAN,Mustafizur Rahman-Mashrafe Bin Mortaza-Arafat Sunny-Rubel Hossain-Nasir Hossain-Shakib Al Hasan-Tamim Iqbal-Soumya Sarkar-Litton Das-Mushfiqur Rahim-Sabbir Rahman
2012,G Gambhir-V Sehwag-V Kohli-R G Sharma-S K Raina-M S Dhoni-I K Pathan-R Ashwin-Zaheer Khan-U T Yadav-P P Ojha,21,Away,SL,K M D Kulasekara-S L Malinga-A D Mathews-N L T Perera-T M Dilshan-H M R Herath-W U Tharanga-K C Sangakkara-L D Chandimal-D P M Jayawardene-H D R Thirimanne
2008,I K Pathan-I Sharma-L Balaji-V Sehwag-R A Jadeja-Y K Pathan-S K Raina-Yuvraj Singh-R G Sharma-G Gambhir-M S Dhoni,-68,Away,SL,T M Dilshan-S T Jayasuriya-K C Sangakkara-S H T Kandamby-D P M Jayawardene-C K Kapugedera-M F Maharoof-T Thushara-K M D Kulasekara-M Muralitharan-B A W Mendis
2013,Mohammed Shami-B Kumar-V R Aaron-R Ashwin-R A Jadeja-V Kohli-R G Sharma-S Dhawan-A M Rahane-A T Rayudu-M S Dhoni,-87,Away,NZ,M J Guptill-J D Ryder-K S Williamson-L  R Taylor-B B McCullum-J D S Neesham-L Ronchi-N L McCullum-M J Henry-K D Mills-M J McClenaghan
2008,V Sehwag-S R Tendulkar-M S Dhoni-Yuvraj Singh-S K Raina-Y K Pathan-G Gambhir-P Kumar-Harbhajan Singh-Zaheer Khan-M M Patel,53,Away,NZ,K D Mills-I E O'Brien-I G Butler-J D P Oram-D L Vettori-J D Ryder-G D Elliott-B B McCullum-M J Guptill-L  R Taylor-N T Broom
2013,R G Sharma-S Dhawan-V Kohli-A T Rayudu-S K Raina-K K D Karthik-R A Jadeja-A Mishra-R Vinay Kumar-Mohammed Shami-J D Unadkat,58,Away,NA,K M Jarvis-B V Vitori-T L Chatara-E Chigumbura-P Utseya-H Masakadza-S C Williams-V Sibanda-Sikandar Raza-B R M Taylor-M N Waller
2013,B Kumar-Mohammed Shami-I Sharma-R A Jadeja-V Kohli-R Ashwin-S K Raina-S Dhawan-R G Sharma-A M Rahane-M S Dhoni,-15,Away,NZ,M J Guptill-J D Ryder-K S Williamson-L  R Taylor-C J Anderson-B B McCullum-L Ronchi-N L McCullum-K D Mills-T G Southee-M J McClenaghan
2015,A M Rahane-M Vijay-R V Uthappa-M K Tiwary-M K Pandey-K M Jadhav-S T R Binny-Harbhajan Singh-A R Patel-B Kumar-M M Sharma,83,Away,NA,D T Tiripano-N Madziva-C J Chibhabha-H Masakadza-P Utseya-A G Cremer-R W Chakabva-E Chigumbura-R Mutumbami-Sikandar Raza-M N Waller
2013,M M Sharma-B Kumar-Mohammed Shami-R Ashwin-R A Jadeja-S K Raina-V Kohli-R G Sharma-S Dhawan-Yuvraj Singh-M S Dhoni,-141,Away,SA,H M Amla-Q de Kock-J H Kallis-A B de Villiers-J-P Duminy-D A Miller-R McLaren-W D Parnell-D W Steyn-M Morkel-L L Tsotsobe
2007,S C Ganguly-S R Tendulkar-Yuvraj Singh-R Dravid-M S Dhoni-K K D Karthik-A B Agarkar-R R Powar-P P Chawla-R P Singh-M M Patel,9,Away,ENG,S C J Broad-J M Anderson-A Flintoff-C T Tremlett-A D Mascarenhas-P D Collingwood-R S Bopara-A N Cook-M J Prior-I R Bell-K P Pietersen
2010,Zaheer Khan-A Nehra-M M Patel-Harbhajan Singh-Yuvraj Singh-R G Sharma-S K Raina-M Vijay-S R Tendulkar-V Kohli-M S Dhoni,-135,Away,SA,G C Smith-H M Amla-C A Ingram-A B de Villiers-J-P Duminy-D A Miller-J Botha-W D Parnell-D W Steyn-M Morkel-L L Tsotsobe
2014,B Kumar-U T Yadav-R Ashwin-M M Sharma-S K Raina-R A Jadeja-V Kohli-R G Sharma-S Dhawan-A M Rahane-M S Dhoni,-79,Away,BAN,Tamim Iqbal-Soumya Sarkar-Litton Das-Mushfiqur Rahim-Shakib Al Hasan-Sabbir Rahman-Nasir Hossain-Mashrafe Bin Mortaza-Rubel Hossain-Taskin Ahmed-Mustafizur Rahman
2015,A M Rahane-M Vijay-A T Rayudu-M K Tiwary-R V Uthappa-K M Jadhav-S T R Binny-A R Patel-Harbhajan Singh-B Kumar-D S Kulkarni,4,Away,NA,T Panyangara-B V Vitori-D T Tiripano-C J Chibhabha-A G Cremer-S C Williams-V Sibanda-H Masakadza-E Chigumbura-Sikandar Raza-R Mutumbami
2015,A M Rahane-M Vijay-A T Rayudu-M K Tiwary-R V Uthappa-S T R Binny-K M Jadhav-Harbhajan Singh-A R Patel-B Kumar-D S Kulkarni,62,Away,NA,B V Vitori-D T Tiripano-N Madziva-S C Williams-A G Cremer-C J Chibhabha-H Masakadza-Sikandar Raza-V Sibanda-E Chigumbura-R Mutumbami
2013,U T Yadav-Mohammed Shami-I Sharma-R Ashwin-S K Raina-V Kohli-R A Jadeja-R G Sharma-S Dhawan-A M Rahane-M S Dhoni,-134,Away,SA,Q de Kock-H M Amla-A B de Villiers-J-P Duminy-D A Miller-J H Kallis-R McLaren-V D Philander-D W Steyn-M Morkel-L L Tsotsobe
2013,B Kumar-Mohammed Shami-I Sharma-R A Jadeja-R Ashwin-V Kohli-R G Sharma-S Dhawan-A M Rahane-S K Raina-M S Dhoni,-24,Away,NZ,M J Guptill-J D Ryder-K S Williamson-L  R Taylor-B B McCullum-C J Anderson-L Ronchi-N L McCullum-T G Southee-A F Milne-M J McClenaghan
2010,Zaheer Khan-M M Patel-P P Chawla-Harbhajan Singh-Y K Pathan-Yuvraj Singh-R G Sharma-S K Raina-P A Patel-V Kohli-M S Dhoni,-33,Away,SA,G C Smith-H M Amla-M N van Wyk-A B de Villiers-J-P Duminy-F du Plessis-J Botha-R J Peterson-D W Steyn-M Morkel-L L Tsotsobe
2012,G Gambhir-A M Rahane-V Kohli-R G Sharma-M K Tiwary-S K Raina-M S Dhoni-I K Pathan-R Ashwin-Zaheer Khan-A B Dinda,20,Away,SL,S L Malinga-N L T Perera-A D Mathews-A N Pradeep-S M S Senanayake-B M A Mendis-W U Tharanga-T M Dilshan-H D R Thirimanne-L D Chandimal-C K Kapugedera
2007,Zaheer Khan-R P Singh-M M Patel-R R Powar-P P Chawla-Yuvraj Singh-S C Ganguly-S R Tendulkar-K K D Karthik-R Dravid-M S Dhoni,-42,Away,ENG,A N Cook-M J Prior-I R Bell-K P Pietersen-P D Collingwood-O A Shah-R S Bopara-S C J Broad-C T Tremlett-J M Anderson-M S Panesar
2007,S C Ganguly-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-R Dravid-K K D Karthik-Zaheer Khan-A B Agarkar-R R Powar-P P Chawla,38,Away,ENG,J M Anderson-J Lewis-S C J Broad-P D Collingwood-M S Panesar-R S Bopara-K P Pietersen-A N Cook-M J Prior-I R Bell-O A Shah
2008,V Sehwag-S R Tendulkar-G Gambhir-Yuvraj Singh-M S Dhoni-S K Raina-Y K Pathan-P Kumar-Zaheer Khan-P P Ojha-I Sharma,147,Away,SL,K M D Kulasekara-C R D Fernando-M F Maharoof-B A W Mendis-M Muralitharan-S T Jayasuriya-T M Dilshan-K C Sangakkara-D P M Jayawardene-S H T Kandamby-C K Kapugedera
2010,P Kumar-I Sharma-R Ashwin-A Mishra-Y K Pathan-M K Tiwary-P A Patel-V Kohli-S Badrinath-R G Sharma-S K Raina,-103,Away,WI,L M P Simmons-D P Hyatt-R R Sarwan-D M Bravo-M N Samuels-K A Pollard-C S Baugh-A D Russell-D J G Sammy-K A J Roach-A Martin
2015,U T Yadav-B Kumar-I Sharma-Gurkeerat Singh-R Dhawan-R A Jadeja-R G Sharma-S Dhawan-V Kohli-M S Dhoni-A M Rahane,-25,Away,AUS,D A Warner-A J Finch-M R Marsh-S P D Smith-G J Maxwell-G J Bailey-J P Faulkner-M S Wade-J W Hastings-K W Richardson-N M Lyon
2010,Zaheer Khan-M M Patel-A Nehra-Harbhajan Singh-Yuvraj Singh-R G Sharma-S K Raina-Y K Pathan-P A Patel-V Kohli-M S Dhoni,-48,Away,SA,H M Amla-G C Smith-M N van Wyk-A B de Villiers-J-P Duminy-F du Plessis-J Botha-R J Peterson-D W Steyn-M Morkel-L L Tsotsobe
2007,Zaheer Khan-A B Agarkar-R P Singh-S C Ganguly-P P Chawla-S R Tendulkar-Yuvraj Singh-G Gambhir-R Dravid-M S Dhoni-K K D Karthik,-104,Away,ENG,A N Cook-M J Prior-I R Bell-K P Pietersen-P D Collingwood-A Flintoff-R S Bopara-A D Mascarenhas-S C J Broad-J M Anderson-M S Panesar
2014,R G Sharma-S Dhawan-V Kohli-A M Rahane-S K Raina-M S Dhoni-R A Jadeja-R Ashwin-B Kumar-Mohammed Shami-M M Sharma,133,Away,ENG,J M Anderson-C R Woakes-C J Jordan-B A Stokes-J E Root-J C Tredwell-A N Cook-A D Hales-I R Bell-E J G Morgan-J C Buttler
2008,K K D Karthik-G Gambhir-R G Sharma-Yuvraj Singh-M S Dhoni-R A Jadeja-Y K Pathan-Harbhajan Singh-I Sharma-R P Singh-A Nehra,20,Away,WI,J E Taylor-L S Baker-D J J Bravo-D E Bernard-S J Benn-C H Gayle-R S Morton-R R Sarwan-S Chanderpaul-D M Bravo-D Ramdin
